timestamp,message,logStreamName
1617825303526,"REPORT RequestId: 6126b5b4-5b4c-4108-9fbc-57f5e21ac35e	Duration: 159.80 ms	Billed Duration: 160 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825304637,"START RequestId: 95388157-6de9-4cac-a40d-4138911bb4ef Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825304825,"END RequestId: 95388157-6de9-4cac-a40d-4138911bb4ef
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825304825,"REPORT RequestId: 95388157-6de9-4cac-a40d-4138911bb4ef	Duration: 179.42 ms	Billed Duration: 180 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825305578,"START RequestId: ebd0ab0a-e4ce-42f1-8526-4407b2862c12 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825305705,"END RequestId: ebd0ab0a-e4ce-42f1-8526-4407b2862c12
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825305705,"REPORT RequestId: ebd0ab0a-e4ce-42f1-8526-4407b2862c12	Duration: 124.37 ms	Billed Duration: 125 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825307371,"START RequestId: ffe1ccca-5265-4271-85b6-ec790fc3a9a3 Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825307506,"END RequestId: ffe1ccca-5265-4271-85b6-ec790fc3a9a3
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825307506,"REPORT RequestId: ffe1ccca-5265-4271-85b6-ec790fc3a9a3	Duration: 130.97 ms	Billed Duration: 131 ms	Memory Size: 128 MB	Max Memory Used: 82 MB	
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
1617825308499,"START RequestId: 458df35a-881b-4f37-a08a-bb5a9ad50a6c Version: $LATEST
",2021/04/07/[$LATEST]6f1efa652c4a489ab32f71eba97bf944
